Format: First Name | Last Name | email | password | AM | type | enrollment

LEADER (1)
==========

Κώστας Δημητρίου | leader1@uni.gr | hAZ8Z5IA7Blg

SECRETARIES (3)
===============

Μαρία Αντωνίου | secretary1@uni.gr | IVFVWBddHPO1
Ελένη Γραμματεία | secretary2@uni.gr | dgvNu8jI93yV
Άννα Γραμματεία | secretary3@uni.gr | l1G_QkL2i42b

STUDENTS (1201)
===============

Μάνος Παπαπέτρου | up1091234@uni.gr | lfOCMENMj4VV | AM: 1091234 | undergrad | enroll: 2019
Ιωαννα Δασκαλοπούλου | up1091235@uni.gr | wiYbMa5HNSTH | AM: 1091235 | undergrad | enroll: 2021
Λεωνίδας Λαγός | up1091236@uni.gr | 5uho2zf_htaO | AM: 1091236 | undergrad | enroll: 2023
Αννα Ελευθερόπουλος | up1091237@uni.gr | xBEnignbcD67 | AM: 1091237 | undergrad | enroll: 2020
Φώτιος Δαμασκηνός | up1091238@uni.gr | XD2fADW7N_8m | AM: 1091238 | undergrad | enroll: 2021
Ιωάννης Δασκαλόπουλος | up1091239@uni.gr | HSrzsRXUbJSA | AM: 1091239 | postgrad | enroll: 2023
Ευστάθιος Βλαβιανός | up1091240@uni.gr | mY65Zws621wv | AM: 1091240 | undergrad | enroll: 2018
Χριστινα Βικελίδης | up1091241@uni.gr | b8ddQL9t_O5G | AM: 1091241 | undergrad | enroll: 2026
Αννα Βούλγαρης | up1091242@uni.gr | SDOV8YoblIdv | AM: 1091242 | postgrad | enroll: 2026
Χριστινα Μπουκουβαλαίοι | up1091243@uni.gr | gUyRGYTnzQeS | AM: 1091243 | undergrad | enroll: 2018
Μιχαήλ Ελευθεριάδης | up1091244@uni.gr | s2gsr2i_UvlQ | AM: 1091244 | undergrad | enroll: 2021
Ελευθέριος Κούνδουρος | up1091245@uni.gr | VD_FkzLTCMR0 | AM: 1091245 | undergrad | enroll: 2020
Αλεξανδρα Κοτζιάς | up1091246@uni.gr | h7VCkHWRLl4v | AM: 1091246 | postgrad | enroll: 2022
Αναστασια Κανακάρης-Ρούφος | up1091247@uni.gr | U13LNjl23SKQ | AM: 1091247 | undergrad | enroll: 2020
Απόστολος Καραμανλής | up1091248@uni.gr | LK5QgU347NNn | AM: 1091248 | postgrad | enroll: 2023
